title,description,created_by,is_custom,impact_score,goal_type,role_ids,created_at,updated_at
Provide regular exercise,Ensure your pet receives regular exercise to maintain their physical health.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Schedule regular vet visits,Keep up with regular veterinary visits to monitor and maintain your pet's health.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Feed a balanced diet,Provide your pet with a balanced diet that meets their nutritional needs.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Create a safe living environment,Ensure that your home is safe and comfortable for your pet.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Train and socialize your pet,Invest time in training and socializing your pet to promote good behavior and confidence.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Show affection and attention,"Spend quality time with your pet, showing them affection and attention.",,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Keep up with grooming,Regularly groom your pet to maintain their hygiene and comfort.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Provide mental stimulation,"Engage your pet with toys, puzzles, and activities that stimulate their mind.",,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Monitor your pet's health,Be vigilant about any changes in your pet's behavior or health and address issues promptly.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Ensure proper identification,"Make sure your pet has proper identification, such as a microchip or ID tag.",,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Prepare for emergencies,"Have a plan in place for emergencies, including a pet first aid kit and emergency contacts.",,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Establish a routine,Create a daily routine that provides structure and stability for your pet.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect your pet's needs,Understand and respect your pet's unique needs and preferences.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Provide companionship,"Ensure your pet has companionship and social interaction, especially if they are left alone for long periods.",,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Educate yourself about your pet's breed,Learn about your pet's breed-specific traits and needs to provide better care.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Be patient and understanding,"Show patience and understanding, especially during training or behavioral challenges.",,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Create a pet-friendly home,Make your home environment pet-friendly with appropriate spaces and safety measures.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Provide a variety of toys and enrichment,Offer a range of toys and activities to keep your pet entertained and mentally stimulated.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect your pet's boundaries,Recognize and respect your pet's boundaries and personal space.,,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Build a strong bond with your pet,"Focus on building a strong, trusting, and loving bond with your pet.",,FALSE,3,Personal Development,26,2024-08-14 17:52:50,2024-08-14 17:52:50
Develop a clear vision,Articulate a clear and compelling vision for your team or organization to inspire and guide others.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Lead by example,"Demonstrate the behaviors, values, and work ethic you expect from your team.",,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Foster open communication,Encourage open and honest communication within your team to build trust and collaboration.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Support professional development,Invest in the professional growth and development of your team members.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Make informed decisions,"Base your decisions on data, analysis, and input from others to make informed and effective choices.",,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Delegate effectively,Empower your team by delegating tasks and responsibilities appropriately.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Build a positive team culture,Cultivate a positive and inclusive team culture that promotes collaboration and well-being.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Provide constructive feedback,"Offer regular, constructive feedback to help team members improve and succeed.",,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Adapt to change,"Show flexibility and adaptability in the face of change, leading your team through transitions effectively.",,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Recognize and reward achievements,Acknowledge and celebrate the achievements and contributions of your team members.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Manage conflicts effectively,Address and resolve conflicts within your team in a fair and constructive manner.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Encourage innovation,Foster a culture of innovation by encouraging new ideas and creative solutions.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Build strong relationships,"Develop strong, trust-based relationships with team members and stakeholders.",,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Maintain transparency,Be transparent in your decision-making and communication to build trust and accountability.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Promote work-life balance,Support work-life balance within your team by setting reasonable expectations and respecting personal time.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Lead with empathy,Demonstrate empathy and understanding in your leadership to build a supportive and compassionate team environment.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Set clear goals and expectations,Clearly define goals and expectations for your team to ensure alignment and focus.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Stay informed about industry trends,Keep up-to-date with industry trends and best practices to guide your team's strategic direction.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Encourage team collaboration,Promote teamwork and collaboration by creating opportunities for team members to work together.,,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Reflect on your leadership style,"Regularly assess and reflect on your leadership style, seeking feedback and making improvements as needed.",,FALSE,3,Professional,36,2024-08-14 17:52:50,2024-08-14 17:52:50
Be a trusted listener,Offer a safe and non-judgmental space for others to share their thoughts and feelings.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Maintain confidentiality,Respect the privacy of those who confide in you by keeping their information confidential.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Provide emotional support,Offer emotional support and understanding to those who seek your guidance.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Offer thoughtful advice,"Provide thoughtful and considered advice when asked, based on your knowledge and experience.",,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Be empathetic and understanding,Show empathy and understanding in your interactions with others.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect boundaries,Be mindful of and respect the boundaries set by those who confide in you.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Listen without judgment,Practice non-judgmental listening to create a supportive environment for others.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Build trust over time,Develop trust gradually through consistent and reliable behavior.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Encourage open communication,Promote open and honest communication to strengthen your relationship with others.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Support their decisions,"Respect and support the decisions of those who seek your advice, even if you may not fully agree.",,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Be reliable and dependable,Show that others can rely on you by being dependable and consistent.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Foster a non-judgmental atmosphere,Create an atmosphere where others feel safe to express themselves without fear of judgment.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Help them explore options,Assist others in exploring different options and perspectives to help them make informed decisions.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Encourage self-reflection,Promote self-reflection in others to help them gain insights into their own thoughts and behaviors.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Be patient and supportive,Demonstrate patience and support as others work through their challenges.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Celebrate their growth,Acknowledge and celebrate the personal growth and progress of those you support.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Share your own experiences,"Use your own experiences to provide perspective and guidance, when appropriate.",,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Be available when needed,Make yourself available to those who need your support and advice.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Encourage positive thinking,Promote positive thinking and a solution-focused mindset in your interactions with others.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect their journey,Understand that everyone is on their own journey and offer support without imposing your own beliefs.,,FALSE,3,Personal Development,24,2024-08-14 17:52:50,2024-08-14 17:52:50
Build a supportive relationship,Establish a trusting and supportive relationship with your mentee.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Share personal experiences,Use your own personal experiences to provide valuable insights and guidance.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Set clear goals together,Collaborate with your mentee to set clear and achievable personal development goals.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Provide honest feedback,Offer honest and constructive feedback to help your mentee grow and improve.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Encourage self-reflection,Promote self-reflection in your mentee to help them understand their strengths and areas for growth.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Support emotional well-being,Be attentive to your mentee's emotional well-being and provide support when needed.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Help them navigate challenges,Assist your mentee in navigating personal challenges and finding effective solutions.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Be a role model,Demonstrate positive behaviors and attitudes that your mentee can emulate.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Encourage a growth mindset,Promote a growth mindset by encouraging your mentee to view challenges as opportunities for learning.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Celebrate their successes,Acknowledge and celebrate your mentee's achievements and milestones.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Maintain regular communication,Keep regular communication with your mentee to stay informed about their progress.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Provide resources and tools,Offer resources and tools that can help your mentee achieve their personal goals.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Be patient and understanding,Show patience and understanding as your mentee works through their personal development journey.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Encourage self-directed learning,Support your mentee in taking initiative in their own learning and development.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Foster open communication,Promote open and honest communication to build a strong mentoring relationship.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect their individuality,Appreciate and respect your mentee's unique qualities and individuality.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Help them build confidence,Support your mentee in building confidence in their abilities and potential.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Encourage work-life balance,Promote the importance of maintaining a healthy work-life balance in your mentee's life.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Adapt to their needs,Be flexible and adapt your mentoring approach to meet the specific needs of your mentee.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Reflect on the mentoring relationship,Regularly assess the effectiveness of your mentoring relationship and make adjustments as needed.,,FALSE,3,Personal Development,25,2024-08-14 17:52:50,2024-08-14 17:52:50
Be a reliable confidant,Be someone your best friend can trust and confide in without judgment.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Celebrate their successes,Acknowledge and celebrate your best friend's achievements and milestones.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Stay in regular contact,"Maintain regular communication with your best friend through calls, messages, or meetups.",,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Offer support during tough times,"Be there for your best friend when they face challenges, offering emotional and practical support.",,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Plan meaningful experiences together,Create and share memorable experiences with your best friend to strengthen your bond.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Listen actively and empathetically,Practice active listening to understand your best friend's feelings and perspectives.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect their boundaries,Understand and respect your best friend's personal boundaries and space.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Share interests and hobbies,Engage in activities that you both enjoy together to deepen your connection.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Resolve conflicts peacefully,Address and resolve any conflicts with your best friend in a respectful and constructive manner.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Show appreciation and gratitude,Express appreciation for your best friend and the positive impact they have on your life.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Be honest and trustworthy,"Maintain trust in your friendship by being honest, reliable, and keeping confidences.",,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Support their personal growth,Encourage and support your best friend's efforts to grow and achieve their goals.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Be there for important life events,"Be present for significant life events in your best friend's life, offering support and celebration.",,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Maintain a positive attitude,Cultivate a positive and uplifting attitude in your interactions with your best friend.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect their individuality,Appreciate and respect your best friend's unique qualities and individuality.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Share advice when needed,Offer advice and guidance to your best friend when they seek your perspective.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Be supportive of their relationships,"Encourage and support your best friend's other relationships, respecting their connections with others.",,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Offer a helping hand,Be willing to help your best friend when they need assistance or advice.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Create lasting memories,Focus on creating positive and lasting memories with your best friend.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Reflect on your friendship,Take time to reflect on your friendship and consider ways to nurture and strengthen it.,,FALSE,3,Social,22,2024-08-14 17:52:50,2024-08-14 17:52:50
Be a dependable presence,"Be a consistent and dependable presence in your companion's life, offering support and companionship.",,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Share quality time together,Make time to engage in meaningful activities and conversations with your companion.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Show genuine care and concern,Express genuine care and concern for your companion's well-being and happiness.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Listen with empathy,Practice empathetic listening to understand your companion's feelings and needs.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Celebrate special moments together,Acknowledge and celebrate special moments and milestones with your companion.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect personal space and boundaries,Be mindful of your companion's personal space and boundaries to maintain a comfortable relationship.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Be supportive during challenges,Offer support and encouragement to your companion during challenging times.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Share common interests,Engage in activities that you both enjoy to strengthen your bond.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Resolve disagreements peacefully,Address and resolve any disagreements with your companion in a respectful and constructive manner.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Maintain a positive and uplifting attitude,Cultivate a positive and uplifting attitude in your interactions with your companion.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Be trustworthy and reliable,"Maintain trust in your relationship by being honest, reliable, and dependable.",,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Show appreciation and gratitude,Express appreciation for your companion and the positive impact they have on your life.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Support their goals and aspirations,Encourage and support your companion in achieving their personal goals and aspirations.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect their individuality,Appreciate and respect your companion's unique qualities and individuality.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Be open to sharing your thoughts and feelings,Foster open communication by sharing your own thoughts and feelings with your companion.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Offer a helping hand,Be willing to help your companion when they need assistance or advice.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Create a safe and supportive environment,"Work together to create a relationship that is safe, supportive, and conducive to growth.",,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Reflect on your relationship,Take time to reflect on your relationship and consider ways to nurture and strengthen it.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Be adaptable and flexible,Show adaptability and flexibility in your interactions with your companion.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Build a foundation of trust,Work on building and maintaining trust in your relationship with your companion.,,FALSE,3,Social,23,2024-08-14 17:52:50,2024-08-14 17:52:50
Communicate openly and respectfully,Maintain open and respectful communication with your roommate to address any issues and foster a positive living environment.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Establish house rules together,Collaborate with your roommate to set house rules that promote mutual respect and understanding.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Share household responsibilities,Divide household chores and responsibilities fairly to ensure a harmonious living situation.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect personal space and boundaries,Be mindful of your roommate's personal space and boundaries to maintain a comfortable living environment.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Address conflicts calmly and constructively,Approach conflicts with a calm and constructive attitude to resolve issues effectively.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Contribute to a clean and organized home,Maintain cleanliness and organization in shared spaces to create a pleasant living environment.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Support each other's schedules,Be considerate of your roommate's schedule and routines to minimize disruptions.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Share expenses fairly,"Ensure that shared expenses, such as rent and utilities, are divided fairly between you and your roommate.",,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Plan regular roommate check-ins,Schedule regular check-ins with your roommate to discuss any concerns and maintain open communication.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Be considerate of noise levels,Keep noise levels in shared spaces reasonable to respect your roommate's comfort.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Celebrate milestones together,"Acknowledge and celebrate each other's milestones, such as birthdays or achievements, to strengthen your bond.",,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Help create a welcoming home environment,Work together to create a welcoming and comfortable home environment for both of you.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Be flexible and accommodating,Show flexibility and willingness to accommodate your roommate's needs and preferences.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Foster a positive living atmosphere,Promote a positive and supportive atmosphere in your shared living space.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Respect each other's guests and visitors,"Be respectful of your roommate's guests and visitors, and establish guidelines for hosting.",,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Maintain clear communication about finances,Keep clear and transparent communication about shared finances to avoid misunderstandings.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Share common interests,Engage in activities that you both enjoy to strengthen your relationship as roommates.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Be mindful of shared spaces,Be considerate of your roommate's use of shared spaces and ensure they are kept clean and tidy.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Show appreciation for each other's efforts,Express appreciation for your roommate's contributions to the household.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Support each other's well-being,Offer support and understanding to your roommate during challenging times.,,FALSE,3,Social,20,2024-08-14 17:52:50,2024-08-14 17:52:50
Be friendly and approachable,Maintain a friendly and approachable demeanor when interacting with acquaintances.,,FALSE,3,Social,21,2024-08-14 17:52:50,2024-08-14 17:52:50
Show genuine interest in others,Express genuine interest in getting to know acquaintances by asking questions and engaging in conversations.,,FALSE,3,Social,21,2024-08-14 17:52:50,2024-08-14 17:52:50
